Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Punishment Pack choice?
11/4/2022 12:14:29,Jaidin M - MnemonicDevice#38774,Ben A - JankInTheTank#50714,2-0,,1,Inputted match backwards the first time,,
11/4/2022 16:14:53,Ryan D - TheSlickness#10857,Daniel M - HPWizard#40332,2-0,,1,,,
11/4/2022 16:43:33,Daniel J - Insequent#82225,Rafael F - Prudent#24319,2-0,,1,,,
11/4/2022 17:32:15,Robby P - Locke_009#22200,Ryan D - TheSlickness#10857,2-0,,1,,,
11/4/2022 18:30:02,Robby P - Locke_009#22200,Raghu B - Midnitfalcon#19670,2-1,,1,,,
11/4/2022 19:05:00,Jeremy E - Lhurgoyf#37289,John P - gokuorgohome#51511,2-0,,1,Mangled!,,
11/4/2022 19:23:33,Joel L - Instinctive#21903,Raghu B - Midnitfalcon#19670,2-1,,1,ggs wp,,
11/4/2022 20:12:03,Sawyer T - soyboy#35469,Jason M - experientialist#23057,2-1,,1,,,
11/4/2022 20:41:27,Jake C - the_man_mulcahey#74753,Robby P - Locke_009#22200,2-0,,1,,,
11/4/2022 21:37:16,Chris Y - Yorke on Games#66909,Daniel G - Friskyhobbit#43185,2-0,,1,GGs!,,
11/4/2022 22:10:00,Sylvain T - Iquitos#15484,Caleb G - Whynaut#28590,2-0,,1,,,
11/4/2022 23:37:39,Daniel J - Insequent#82225,Ryan D - TheSlickness#10857,2-0,,1,,,
11/4/2022 23:40:05,Sylvain T - Iquitos#15484,Chris P - Joker01#66827,2-1,,1,,,
11/5/2022 0:09:24,Jeremy E - Lhurgoyf#37289,David S - SirLossore#88647,2-1,,1,,,
11/5/2022 0:11:40,Rafael F - Prudent#24319,Sylvain T - Iquitos#15484,2-0,,1,GG AFR VS AFR!!!!!,,
11/5/2022 0:23:15,Kyle W - EtherEngineer#51748,Daniel J - Insequent#82225,2-0,,1,,,
11/5/2022 0:48:16,Ryan D - TheSlickness#10857,Emmett F - Sepulchure#51526,2-0,,1,,,
11/5/2022 1:31:29,Sylvain T - Iquitos#15484,Zeke W - smarmyplatapus#30066,2-1,,1,,,
11/5/2022 2:05:50,Sylvain T - Iquitos#15484,Chris Y - Yorke on Games#66909,2-0,,1,,,
11/5/2022 2:32:20,Damian S - ButCrackMagic#71223,Paul G - TheDragon#61289,2-0,,1,,,
11/5/2022 3:31:39,Paul G - TheDragon#61289,Chris Y - Yorke on Games#66909,2-1,,1,,,
11/5/2022 14:11:27,Joel L - Instinctive#21903,Kevin I - kni1993#29285,2-0,,1,ggs wp,,
11/5/2022 15:49:54,Sawyer T - soyboy#35469,Aaron H - UlamogOurSaviour#56444,2-0,,1,,,
11/5/2022 15:59:36,Johnny M - Johnny#69519,Dan K - Fizishy#82483,2-1,,1,time,,
11/5/2022 16:51:06,Caleb G - Whynaut#28590,Dan K - Fizishy#82483,2-0,,1,,,
11/5/2022 16:52:50,Raghu B - Midnitfalcon#19670,Sawyer T - soyboy#35469,2-1,,1,,,
11/5/2022 17:03:19,Paul G - TheDragon#61289,Kevin I - kni1993#29285,2-0,,1,,,
11/5/2022 17:45:28,Andy P - TheWonderfulAndy#61401,Dan K - Fizishy#82483,2-0,,1,,,
11/5/2022 17:52:28,Caleb G - Whynaut#28590,Kevin I - kni1993#29285,2-1,,1,,,
11/5/2022 18:37:51,Andy P - TheWonderfulAndy#61401,Emmett F - Sepulchure#51526,2-0,,1,,,
11/5/2022 19:04:32,Christopher G - oompaloompa#65002,Nik S - njsiii#50504,2-0,,1,,,
11/5/2022 19:47:15,John P - gokuorgohome#51511,Christopher G - oompaloompa#65002,2-1,,1,,,
11/5/2022 21:55:40,Jordan M - JMTron#46639,Chris Y - Yorke on Games#66909,2-0,,1,,,
11/5/2022 22:17:24,Nik S - njsiii#50504,Jordan M - JMTron#46639,2-0,,1,,,
11/5/2022 22:42:39,Chris Y - Yorke on Games#66909,Mitchel S - SpaghettiMitch#18619,2-0,,1,Luck Sac!,,
11/5/2022 23:57:59,Michael M - Atombomb11991#07305,Maxime R - Tasigurr#89921,2-1,,1,,,
11/6/2022 0:05:20,Daniel G - Friskyhobbit#43185,Daniel J - Insequent#82225,2-0,,1,,,
11/6/2022 0:36:46,Michael M - Atombomb11991#07305,Sylvain T - Iquitos#15484,2-1,,1,,,
11/6/2022 0:50:27,Daniel J - Insequent#82225,Maxime R - Tasigurr#89921,2-0,,1,,,
11/6/2022 1:14:11,Aaron H - UlamogOurSaviour#56444,Zeke W - smarmyplatapus#30066,2-0,,1,,,
11/6/2022 1:31:20,Jeremy E - Lhurgoyf#37289,Sylvain T - Iquitos#15484,2-1,,1,,,
11/6/2022 10:37:11,Robby P - Locke_009#22200,Aaron H - UlamogOurSaviour#56444,2-0,,1,,,
11/6/2022 10:44:58,Richard K - preacher26#59445,Raghu B - Midnitfalcon#19670,2-0,,1,,,
11/6/2022 10:59:34,Johnny M - Johnny#69519,Robby P - Locke_009#22200,2-0,,1,,,
11/6/2022 11:39:27,Daniel G - Friskyhobbit#43185,Aaron H - UlamogOurSaviour#56444,2-1,,1,,,
11/6/2022 12:36:42,Noah B - Sisco#71800,Maxime R - Tasigurr#89921,2-1,,1,,,
11/6/2022 14:01:08,Jaidin M - MnemonicDevice#38774,Jordan M - JMTron#46639,2-0,,1,,,
11/6/2022 14:33:50,Richard K - preacher26#59445,Andy P - TheWonderfulAndy#61401,2-0,,1,,,
11/6/2022 15:08:47,Johnny M - Johnny#69519,Daniel G - Friskyhobbit#43185,2-1,,1,,,
11/6/2022 16:04:59,Richard K - preacher26#59445,Daniel G - Friskyhobbit#43185,2-1,,1,,,
11/6/2022 17:18:31,Caleb G - Whynaut#28590,Andy P - TheWonderfulAndy#61401,2-1,,1,,,
11/6/2022 18:21:02,Joel L - Instinctive#21903,John P - gokuorgohome#51511,2-0,,1,ggs wp,,
11/6/2022 19:12:14,Noah B - Sisco#71800,Sawyer T - soyboy#35469,2-1,,1,,,
11/6/2022 19:27:01,John P - gokuorgohome#51511,Ash T - TreeGoblin#16976,2-1,,1,,,
11/6/2022 19:40:59,Nik S - njsiii#50504,Daniel M - HPWizard#40332,2-0,,1,,,
11/6/2022 21:18:52,Jake C - the_man_mulcahey#74753,David S - SirLossore#88647,2-0,,1,,,
11/6/2022 23:23:12,David S - SirLossore#88647,Zeke W - smarmyplatapus#30066,2-0,,1,,,
11/6/2022 23:40:01,Damian S - ButCrackMagic#71223,David S - SirLossore#88647,2-0,,1,,,
11/7/2022 0:10:55,Maxime R - Tasigurr#89921,David S - SirLossore#88647,2-0,,1,,,
11/7/2022 0:16:30,Jake C - the_man_mulcahey#74753,Damian S - ButCrackMagic#71223,2-0,,1,,,
11/7/2022 0:54:45,Jeremy E - Lhurgoyf#37289,Jake C - the_man_mulcahey#74753,2-0,,1,,,
11/7/2022 12:14:23,Ash T - TreeGoblin#16976,Jaidin M - MnemonicDevice#38774,2-0,,1,,,
11/7/2022 13:23:20,Adam S - Wizma#29010,Chris P - Joker01#66827,2-1,,1,So close!,,
11/7/2022 16:20:06,Nicholas P - Ami3vil?#84889,Ash T - TreeGoblin#16976,2-0,,1,GGs!,,
11/7/2022 16:27:31,Dan A - BEATDOWNBRINGA#04779,Adam S - Wizma#29010,2-0,,1,,,
11/7/2022 16:48:07,Christopher G - oompaloompa#65002,Ash T - TreeGoblin#16976,2-0,,1,,,
11/7/2022 17:11:12,John P - gokuorgohome#51511,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,,
11/7/2022 17:47:30,Nicholas P - Ami3vil?#84889,Dan A - BEATDOWNBRINGA#04779,2-0,,1,GGs!,,
11/7/2022 17:57:07,Ash T - TreeGoblin#16976,Maxime R - Tasigurr#89921,2-0,,1,,,
11/7/2022 18:56:02,Maranda L - BlackCanary#59791,Kyle W - EtherEngineer#51748,2-1,,1,,,
11/7/2022 19:25:31,Sawyer T - soyboy#35469,Jeremy E - Lhurgoyf#37289,2-0,,1,,,
11/7/2022 19:30:54,Richard K - preacher26#59445,Christopher G - oompaloompa#65002,2-1,,1,,,
11/7/2022 20:35:10,Rafael F - Prudent#24319,Mitchel S - SpaghettiMitch#18619,2-1,,1,Dogs -> Cat's!,,
11/7/2022 21:05:40,Chris R - Sinkwater#27508,Richard K - preacher26#59445,2-0,,1,,,
11/7/2022 21:24:04,Andrew A - Mapo Dofu#77365,Cody-Rayce MG - Rayce#56572,2-1,,1,This league is really not fun! But at least Cody is awesome to play against.,,
11/7/2022 22:33:18,Steve T - strout#45062,Nik S - njsiii#50504,2-0,,1,,,
11/7/2022 22:36:13,Cody-Rayce MG - Rayce#56572,Adam S - Wizma#29010,2-1,,1,ggs,,
11/7/2022 23:02:04,Rafael F - Prudent#24319,Nik S - njsiii#50504,2-0,,1,Dog - > Cat Bork Bork,,
11/7/2022 23:33:45,Kyle W - EtherEngineer#51748,Steve T - strout#45062,2-0,,1,,,
11/8/2022 10:49:16,Cody-Rayce MG - Rayce#56572,Ben A - JankInTheTank#50714,2-0,,1,ggs wp,,
11/8/2022 11:15:51,Paul G - TheDragon#61289,Ben A - JankInTheTank#50714,2-0,,1,,,
11/8/2022 11:43:43,Kevin I - kni1993#29285,Cody-Rayce MG - Rayce#56572,2-1,,1,Ggs,,
11/8/2022 12:57:29,Jordan M - JMTron#46639,Cody-Rayce MG - Rayce#56572,2-1,,1,,,
11/8/2022 13:42:04,Joel L - Instinctive#21903,Tony G - YnotRock#76764,2-0,,1,ggs wp,,
11/8/2022 16:48:53,Oskar T - ossytubbi#87966,Raghu B - Midnitfalcon#19670,2-0,,1,,,
11/8/2022 17:11:38,Cody-Rayce MG - Rayce#56572,Oskar T - ossytubbi#87966,2-1,,1,ggs wp,,
11/8/2022 18:30:36,Kevin I - kni1993#29285,Chris R - Sinkwater#27508,2-0,,1,Ggs,,
11/8/2022 18:43:37,Tony G - YnotRock#76764,Nicholas P - Ami3vil?#84889,2-0,,1,Sad mulls :(,,
11/8/2022 19:10:56,Cody-Rayce MG - Rayce#56572,Ben DP - bdp18#67423,2-0,,1,ggssss,,
11/8/2022 19:22:06,Jaidin M - MnemonicDevice#38774,Jason M - experientialist#23057,2-0,,1,ggs!,,
11/8/2022 20:07:30,Jordan M - JMTron#46639,Kyle W - EtherEngineer#51748,2-1,,1,,,
11/8/2022 21:38:18,Christopher G - oompaloompa#65002,Chris R - Sinkwater#27508,2-0,,1,,,
11/8/2022 22:38:17,Ryan D - TheSlickness#10857,Daniel M - HPWizard#40332,2-0,,1,,,
11/8/2022 22:39:55,Johnny M - Johnny#69519,Nicholas P - Ami3vil?#84889,2-1,,1,,,
11/8/2022 23:25:54,Jason M - experientialist#23057,Daniel M - HPWizard#40332,2-0,,1,,,
11/8/2022 23:39:38,Ryan D - TheSlickness#10857,Johnny M - Johnny#69519,2-1,,1,,,
11/9/2022 15:35:31,Paul G - TheDragon#61289,Tony G - YnotRock#76764,2-0,,1,,,
11/9/2022 19:32:56,Chris R - Sinkwater#27508,Joel L - Instinctive#21903,2-1,,1,,,
11/9/2022 20:33:54,Dan K - Fizishy#82483,Noah B - Sisco#71800,2-0,,1,,,
11/9/2022 22:14:31,Noah B - Sisco#71800,Chris R - Sinkwater#27508,2-1,,1,,,
11/9/2022 22:57:39,Jake C - the_man_mulcahey#74753,Noah B - Sisco#71800,2-1,,1,,,
11/9/2022 23:47:53,Jason M - experientialist#23057,Maranda L - BlackCanary#59791,2-1,,1,,,
11/9/2022 23:54:59,Aaron H - UlamogOurSaviour#56444,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,
11/10/2022 12:59:38,John R - Ged#72302,Chris P - Joker01#66827,2-0,,1,GGS,,
11/10/2022 13:46:42,Nicholas P - Ami3vil?#84889,John R - Ged#72302,2-0,,1,GGs!,,
11/10/2022 19:32:37,Damian S - ButCrackMagic#71223,Jason M - experientialist#23057,2-1,,1,,,
11/10/2022 19:48:47,Rafael F - Prudent#24319,Ben A - JankInTheTank#50714,2-0,,1,Gg The dog goes woof,,
11/10/2022 21:31:57,Maranda L - BlackCanary#59791,Bill D - Cato Phoenix#70805,2-0,,1,,,
11/10/2022 22:12:39,Steve T - strout#45062,Bill D - Cato Phoenix#70805,2-1,,1,,,
11/10/2022 23:13:08,Adam S - Wizma#29010,Bill D - Cato Phoenix#70805,2-1,,1,,,
11/10/2022 23:47:21,Michael M - Atombomb11991#07305,Bill D - Cato Phoenix#70805,2-0,,1,,,
11/11/2022 0:22:14,Michael M - Atombomb11991#07305,Caleb G - Whynaut#28590,2-1,,1,,,
11/11/2022 0:37:05,Bill D - Cato Phoenix#70805,Rafael F - Prudent#24319,2-1,,1,,,
11/11/2022 1:12:05,Steve T - strout#45062,Damian S - ButCrackMagic#71223,2-1,,1,,,
11/11/2022 9:15:40,Adam S - Wizma#29010,Oskar T - ossytubbi#87966,2-1,,1,,,
11/11/2022 14:24:37,Daniel M - HPWizard#40332,Dan K - Fizishy#82483,2-1,,1,,,
11/11/2022 15:00:27,Daniel J - Insequent#82225,Andy P - TheWonderfulAndy#61401,2-0,,1,,,
11/11/2022 15:17:53,Emmett F - Sepulchure#51526,Daniel M - HPWizard#40332,2-0,,1,,,
11/11/2022 16:45:54,Daniel J - Insequent#82225,Michael M - Atombomb11991#07305,2-0,,1,,,
11/11/2022 18:01:50,John P - gokuorgohome#51511,Johnny M - Johnny#69519,2-0,,1,,,
11/11/2022 18:37:59,Maxime R - Tasigurr#89921,John P - gokuorgohome#51511,2-0,,1,,,
11/11/2022 19:51:20,Sawyer T - soyboy#35469,Maxime R - Tasigurr#89921,2-0,,1,,,
11/11/2022 20:41:12,Daniel G - Friskyhobbit#43185,Maxime R - Tasigurr#89921,2-0,,1,,,
11/11/2022 23:52:15,Chris Y - Yorke on Games#66909,Jeremy E - Lhurgoyf#37289,2-1,,1,Saccin' USA,,
11/12/2022 0:55:12,Jeremy E - Lhurgoyf#37289,Damian S - ButCrackMagic#71223,2-1,,1,,,
11/12/2022 13:29:12,Richard K - preacher26#59445,Cody-Rayce MG - Rayce#56572,2-1,,1,,,
11/12/2022 16:43:18,John P - gokuorgohome#51511,Daniel G - Friskyhobbit#43185,2-0,,1,,,
11/12/2022 17:17:13,Ryan D - TheSlickness#10857,Michael M - Atombomb11991#07305,2-0,,1,,,
11/12/2022 17:51:14,Sawyer T - soyboy#35469,Nicholas P - Ami3vil?#84889,2-1,,1,,,
11/12/2022 21:13:39,Richard K - preacher26#59445,Sawyer T - soyboy#35469,2-0,,1,,,
11/12/2022 22:04:21,Richard K - preacher26#59445,Chris Y - Yorke on Games#66909,2-0,,1,,,
11/13/2022 12:09:17,Ryan D - TheSlickness#10857,Cody-Rayce MG - Rayce#56572,2-0,,1,,,
