Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Punishment Pack choice?
11/20/2022 10:22:42,Kevin I - kni1993#29285,Eric C - ecope#39827,2-0,,1,Ggs,,
11/20/2022 10:23:57,Oskar T - ossytubbi#87966,Nik S - njsiii#50504,2-1,,1,,,
11/20/2022 10:30:34,Paul G - TheDragon#61289,Serge T - Sergyboy514#39979,2-1,,1,,,
11/20/2022 10:40:01,Dante R - dantesper#59172,Adam S - wizma#29010,2-0,,1,,,
11/20/2022 10:40:55,Greg M - grapereaper#84747,Krzys H - FaceBeardMcBeard#24731,2-1,,1,,,
11/20/2022 11:00:41,Oskar T - ossytubbi#87966,Mason G - bear6875#02260,2-0,,1,,,
11/20/2022 11:16:08,Krzys H - FaceBeardMcBeard#24731,Eric C - ecope#39827,2-0,,1,,,
11/20/2022 11:31:44,Oskar T - ossytubbi#87966,Robby P - Locke_009#22200,2-0,,1,,,
11/20/2022 11:48:38,Krzys H - FaceBeardMcBeard#24731,Oskar T - ossytubbi#87966,2-0,,1,,,
11/20/2022 11:53:37,Serge T - Sergyboy514#39979,Richard K - preacher26#59445,2-0,,1,,,
11/20/2022 12:28:24,Richard K - preacher26#59445,Joel L - Instinctive#21903,2-0,,1,,,
11/20/2022 12:41:00,Nik S - njsiii#50504,Mason G - bear6875#02260,2-0,,1,,,
11/20/2022 13:07:48,Joel L - Instinctive#21903,Jonathan R - Jraps#79124,2-0,,1,ggs wp,,
11/20/2022 14:24:31,Mason G - bear6875#02260,Robby P - Locke_009#22200,2-1,,1,,,
11/20/2022 14:26:42,Maranda L - BlackCanary#59791,Andrew H - hopnertz#98617,2-1,,1,,,
11/20/2022 14:59:25,Sean Sp - Talrand#06333,Nicholas K - Bionick#55161,2-0,,1,,,
11/20/2022 15:07:11,Christopher S - Stemz#96067,JP G - jaypiex#97612,2-1,,1,,,
11/20/2022 15:27:08,Paul G - TheDragon#61289,Erika P - CharmToy#24980,2-1,,1,,,
11/20/2022 16:02:52,Bill D - Cato Phoenix#70805,John P - gokuorgohome#51511,2-1,,1,,,
11/20/2022 16:17:51,Benson P - sick beak#62405,Shuo L - Tamamo#30654,2-0,,1,,,
11/20/2022 16:49:23,Sean Sp - Talrand#06333,Andrew H - hopnertz#98617,2-1,,1,,,
11/20/2022 17:13:30,John P - gokuorgohome#51511,Walter H - DenzelKittyBoi#22057,2-0,,1,,,
11/20/2022 17:37:36,Cody-Rayce MG - Rayce#56572,Mike G - eatmecompletely#43399,2-0,,1,ggs! wp,,
11/20/2022 18:28:32,Christopher G - oompaloompa#65002,Mike G - eatmecompletely#43399,2-0,,1,,,
11/20/2022 18:29:31,Adam S - wizma#29010,Graham S - gram#97938,2-0,,1,Good games. Welcome to the League!,,
11/20/2022 18:43:08,Erika P - CharmToy#24980,Benson P - sick beak#62405,2-1,,1,,,
11/20/2022 18:49:14,Luca P - LukeCloud#68182,Sean Sp - Talrand#06333,2-1,,1,,,
11/20/2022 19:08:40,Olivier F - NephilimOli#21523,Andrew H - hopnertz#98617,2-0,,1,,,
11/20/2022 19:41:50,Christopher S - Stemz#96067,Marley L - BeautyAndTheGitrog#98732,2-0,,1,,,
11/20/2022 19:50:31,Sean Sp - Talrand#06333,Mike P - UnwieldyBiscuit#26471,2-1,,1,,,
11/20/2022 20:22:40,James T - RevisedIsland#19780,Mike G - eatmecompletely#43399,2-0,,1,,,
11/20/2022 20:29:19,Mike P - UnwieldyBiscuit#26471,Nicholas K - Bionick#55161,2-0,,1,,,
11/20/2022 20:29:26,Christopher S - Stemz#96067,Ryan D - TheSlickness#10857,2-0,,1,,,
11/20/2022 20:57:45,Jake C - the_man_mulcahey#74753,Chris R - Sinkwater#27508,2-1,,1,,,
11/20/2022 21:01:20,Christopher S - Stemz#96067,Mike G - eatmecompletely#43399,2-0,,1,,,
11/20/2022 21:27:37,Cody-Rayce MG - Rayce#56572,Benson P - sick beak#62405,2-1,,1,ggs oracle,,
11/20/2022 21:44:37,Marley L - BeautyAndTheGitrog#98732,Olivier F - NephilimOli#21523,2-0,,1,,,
11/20/2022 22:31:04,Olivier F - NephilimOli#21523,Sylvain T - Iquitos#15484,2-0,,1,,,
11/20/2022 23:22:30,Christopher S - Stemz#96067,Rafael F - Prudent#24319,2-0,,1,,,
11/20/2022 23:33:18,Adam S - wizma#29010,Chris Y - Yorke on Games#66909,2-1,,1,Milllllllllllllllll - welcome to BRO,,
11/20/2022 23:48:10,Jeremy E - Lhurgoyf#37289,Craig H - Itsmecraig#89337,2-1,,1,,,
11/21/2022 0:15:13,Dante R - dantesper#59172,Chris Y - Yorke on Games#66909,2-0,,1,,,
11/21/2022 0:28:06,Dante R - dantesper#59172,Rafael F - Prudent#24319,2-0,,1,,,
11/21/2022 1:18:28,Chris Y - Yorke on Games#66909,Shuo L - Tamamo#30654,2-0,,1,Let's go ELD!,,
11/21/2022 1:47:16,Chris Y - Yorke on Games#66909,Justin P - Code Pigeon#84057,2-1,,1,Sick mana issue match,,
11/21/2022 3:00:25,Jonathan R - Jraps#79124,Chris Y - Yorke on Games#66909,2-1,,1,,,
11/21/2022 7:29:11,Eric C - ecope#39827,Paul G - TheDragon#61289,2-0,,1,,,
11/21/2022 12:59:23,Emmett F - Sepulchure#51526,Mason G - bear6875#02260,2-0,,1,,,
11/21/2022 13:18:34,Chris P - Joker01#66827,Russell S - rstad#89052,2-0,,1,,,
11/21/2022 13:52:13,Chris P - Joker01#66827,Erika P - CharmToy#24980,2-0,,1,,,
11/21/2022 14:00:58,Shuo L - Tamamo#30654,Shane K - Malfunktion#31013,2-0,,1,,,
11/21/2022 16:06:13,Walter H - DenzelKittyBoi#22057,Ben A - JankInTheTank#50714,2-1,,1,,,
11/21/2022 16:06:20,Shuo L - Tamamo#30654,Doug Co - daceris#24713,2-1,,1,,,
11/21/2022 16:57:23,Benson P - sick beak#62405,Jeremy E - Lhurgoyf#37289,2-1,,1,,,
11/21/2022 17:17:59,Walter H - DenzelKittyBoi#22057,Noah B - Sisco#71800,2-0,,1,,,
11/21/2022 17:45:52,Shane K - Malfunktion#31013,Aus Z - ImperialPlaneswalker#40420,2-0,,1,,,
11/21/2022 17:54:03,Chris P - Joker01#66827,Jake C - the_man_mulcahey#74753,2-0,,1,,,
11/21/2022 19:00:06,Graham S - gram#97938,Michael M - Atombomb11991#07305,2-1,,1,,,
11/21/2022 19:17:37,Juan Q - JuanCu#95616,Stephan J - Saeijou#27763,2-1,,1,,,
11/21/2022 19:24:24,Russell S - rstad#89052,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,
11/21/2022 19:29:50,Kevin I - kni1993#29285,James MI - ImJolt#28410,2-1,,1,ggs!,,
11/21/2022 19:46:18,Stephan J - Saeijou#27763,Edgar A - PlayfulTerror#04926,2-1,,1,,,
11/21/2022 20:05:53,JP G - jaypiex#97612,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,
11/21/2022 20:42:02,James T - RevisedIsland#19780,Maranda L - BlackCanary#59791,2-1,,1,,,
11/21/2022 20:46:18,Tony G - YnotRock#76764,Nik S - njsiii#50504,2-0,,1,,,
11/21/2022 20:51:46,Lee B - MagicMorningBrew#76946,JP G - jaypiex#97612,2-0,,1,,,
11/21/2022 21:22:31,Lee B - MagicMorningBrew#76946,Chris R - Sinkwater#27508,2-0,,1,,,
11/21/2022 21:24:52,Juan Q - JuanCu#95616,James T - RevisedIsland#19780,2-1,,1,,,
11/21/2022 21:34:33,JP G - jaypiex#97612,Stephan J - Saeijou#27763,2-1,,1,,,
11/21/2022 21:48:18,Maranda L - BlackCanary#59791,Lee B - MagicMorningBrew#76946,2-0,,1,,,
11/21/2022 22:11:20,Stephan J - Saeijou#27763,Lee B - MagicMorningBrew#76946,2-0,,1,,,
11/21/2022 22:16:18,Chris R - Sinkwater#27508,Juan Q - JuanCu#95616,2-1,,1,,,
11/21/2022 22:42:06,Ryan D - TheSlickness#10857,Jeremy E - Lhurgoyf#37289,2-1,,1,,,
11/21/2022 23:19:57,Randy F - Ezrem#08922,Zeke W - smarmyplatapus#30066,2-1,,1,So. Many. Bombs.,,
11/21/2022 23:32:03,Lee B - MagicMorningBrew#76946,Thomas H - fromcero#98384,2-1,,1,,,
11/21/2022 23:39:50,Patrick M - FullestJ#22936,Maranda L - BlackCanary#59791,2-0,,1,,,
11/22/2022 0:09:23,Jaidin M - MnemonicDevice#38774,Craig H - Itsmecraig#89337,2-0,,1,,,
11/22/2022 0:34:48,Sean S - UnknownThursday#95034,Patrick M - FullestJ#22936,2-0,,1,,,
11/22/2022 1:24:05,Sean S - UnknownThursday#95034,Noah B - Sisco#71800,2-0,,1,,,
11/22/2022 1:52:43,Zeke W - smarmyplatapus#30066,Walter H - DenzelKittyBoi#22057,2-1,,1,,,
11/22/2022 6:24:29,Juan Q - JuanCu#95616,Eric C - ecope#39827,2-1,,1,,,
11/22/2022 10:22:50,John R - Ged#72302,Randy F - Ezrem#08922,2-1,,1,Sweet game 2! ,,
11/22/2022 12:25:24,Jake C - the_man_mulcahey#74753,Noah B - Sisco#71800,2-0,,1,,,
11/22/2022 13:26:40,Jaidin M - MnemonicDevice#38774,Erika P - CharmToy#24980,2-0,,1,"Ggs, sorry for flood",,
11/22/2022 14:00:32,Erika P - CharmToy#24980,Ben A - JankInTheTank#50714,2-1,,1,,,
11/22/2022 14:17:56,Jordan M - JMTron#46639,Jaidin M - MnemonicDevice#38774,2-1,,1,,,
11/22/2022 17:04:41,Marley L - BeautyAndTheGitrog#98732,Jordan M - JMTron#46639,2-1,,1,,,
11/22/2022 17:25:18,Benson P - sick beak#62405,Juan Q - JuanCu#95616,2-0,,1,,,
11/22/2022 17:31:43,Walter H - DenzelKittyBoi#22057,Marshall W - Scribbles#92472,2-1,,1,,,
11/22/2022 19:24:39,Kyle C - AFKyle#29319,Gerardo L - Seductiveturtle#91515,2-0,,1,,,
11/22/2022 19:57:07,Kyle C - AFKyle#29319,Christopher G - oompaloompa#65002,2-1,,1,,,
11/22/2022 21:13:54,Edgar A - PlayfulTerror#04926,Mike P - UnwieldyBiscuit#26471,2-0,,1,gg's ,,
11/22/2022 22:55:25,Craig H - Itsmecraig#89337,Adam S - wizma#29010,2-0,,1,,,
11/22/2022 23:00:34,Mitchel S - SpaghettiMitch#18619,Jaidin M - MnemonicDevice#38774,2-0,,1,,,
11/22/2022 23:31:09,Mitchel S - SpaghettiMitch#18619,Randy F - Ezrem#08922,2-0,,1,,,
11/23/2022 1:34:16,Marshall W - Scribbles#92472,Mitchel S - SpaghettiMitch#18619,2-1,,1,,,
11/23/2022 11:54:19,Noah B - Sisco#71800,Marshall W - Scribbles#92472,2-1,,1,,,
11/23/2022 12:38:13,Kevin C - Keviiiiin#67886,Randy F - Ezrem#08922,2-0,,1,,,
11/23/2022 14:36:31,Russell S - rstad#89052,Luca P - LukeCloud#68182,2-0,,1,,,
11/23/2022 19:56:18,Trevor F - treskies#75643,Kevin C - Keviiiiin#67886,2-0,,1,,,
11/23/2022 20:44:10,Kevin C - Keviiiiin#67886,Nathan C - plasma_grunt#90631,2-0,,1,,,
11/23/2022 20:44:37,Andrew H - hopnertz#98617,Trevor F - treskies#75643,2-0,,1,GGs,,
11/23/2022 21:04:25,Russell S - rstad#89052,Christopher G - oompaloompa#65002,2-0,,1,🪖,,
