Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Winner Game Wins,Loser Game Wins,Week,Week Value,Week Start (PST)
4/20/2022 12:15:25,Pierre-Marc D - pmduguay#67919,Jaidin M - MnemonicDevice#38774,2-0,,1,,,,,,,
4/20/2022 13:10:12,Nick L - ironick#50169,Jake C - the_man_mulcahey#74753,2-1,,1,,,,,,,
4/20/2022 14:32:56,Chris R - Sinkwater#27508,Ben A - JankInTheTank#50714,2-1,,1,,,,,,,
4/20/2022 15:15:22,Nick L - ironick#50169,Ben A - JankInTheTank#50714,2-0,,1,,,,,,,
4/20/2022 17:21:09,Justin P - Code Pigeon#84057,Audi J - Squeakz#38671,2-1,,1,,,,,,,
4/20/2022 18:17:45,Damian S - ButCrackMagic#71223,Ryan D - TheSlickness#10857,2-0,,1,,,,,,,
4/20/2022 19:02:47,Richard K - preacher26#59445,Damian S - ButCrackMagic#71223,2-1,,1,,,,,,,
4/20/2022 19:52:25,Daniel M - HPWizard#40332,Olivier F - NephilimOli#21523,2-0,,1,,,,,,,
4/20/2022 20:35:31,Nick L - ironick#50169,Audi J - Squeakz#38671,2-0,,1,,,,,,,
4/20/2022 21:59:53,Christopher G - oompaloompa#65002,Joseph H - JoCool#84350,2-1,,1,,,,,,,
4/20/2022 22:02:32,Mitchel S - SpaghettiMitch#18619,Johnny M - Johnny#69519,2-1,,1,,,,,,,
4/20/2022 22:22:05,Mitchel S - SpaghettiMitch#18619,Ryan D - TheSlickness#10857,2-0,,1,,,,,,,
4/20/2022 22:56:14,Pierre-Marc D - pmduguay#67919,Mitchel S - SpaghettiMitch#18619,2-1,,1,,,,,,,
4/20/2022 23:00:27,Daniel M - HPWizard#40332,Christopher G - oompaloompa#65002,2-0,,1,,,,,,,
4/20/2022 23:31:58,Daniel J - Insequent#82225,Daniel M - HPWizard#40332,2-0,,1,,,,,,,
4/20/2022 23:58:00,Nik S - njsiii#50504,Adam S - wizma#29010,2-1,,1,,,,,,,
4/21/2022 1:14:44,Adam S - wizma#29010,Sylvain T - Iquitos#15484,2-1,,1,Great games!,,,,,,
4/21/2022 9:59:13,Sean L - dankesean#67393,Chris R - Sinkwater#27508,2-1,,1,,,,,,,
4/21/2022 12:30:00,Jake C - the_man_mulcahey#74753,Chris R - Sinkwater#27508,2-0,,1,,,,,,,
4/21/2022 13:09:42,Sawyer T - soyboy#35469,Tony G - YnotRock#76764,2-0,,1,,,,,,,
4/21/2022 16:38:40,Joseph H - JoCool#84350,John L - fightstrife#66069,2-1,,1,,,,,,,
4/21/2022 17:35:09,Joseph H - JoCool#84350,Adam S - wizma#29010,2-0,,1,,,,,,,
4/21/2022 17:53:27,Jaidin M - MnemonicDevice#38774,Michael M - Atombomb11991#07305,2-0,,1,Close games!,,,,,,
4/21/2022 18:00:29,Richard K - preacher26#59445,Johnny M - Johnny#69519,2-1,,1,,,,,,,
4/21/2022 19:07:54,Michael M - Atombomb11991#07305,Damian S - ButCrackMagic#71223,2-1,,1,,,,,,,
4/21/2022 23:34:10,Michael M - Atombomb11991#07305,Sean L - dankesean#67393,2-1,,1,,,,,,,
4/21/2022 23:56:01,John L - fightstrife#66069,Christopher G - oompaloompa#65002,2-0,,1,,,,,,,
4/22/2022 0:22:04,Daniel M - HPWizard#40332,John L - fightstrife#66069,2-0,,1,,,,,,,
4/22/2022 15:08:06,Jaidin M - MnemonicDevice#38774,Shuo L - Tamamo#30654,2-0,,1,Thanks for helping me dodge entropy,,,,,,
4/22/2022 17:10:45,Coleman N - avo#92320,Christopher G - oompaloompa#65002,2-0,,1,,,,,,,
4/23/2022 12:07:52,Sean L - dankesean#67393,Emmett F - Sepulchure#51526,2-0,,1,,,,,,,
4/23/2022 13:20:53,Sean L - dankesean#67393,Jordan P - chunkieluver53#92811,2-0,,1,,,,,,,
4/23/2022 14:01:51,Sawyer T - soyboy#35469,Jordan P - chunkieluver53#92811,2-0,,1,,,,,,,
4/23/2022 14:52:33,Sawyer T - soyboy#35469,Ryan W - MuttBunchies#61653,2-0,,1,,,,,,,
4/23/2022 16:10:40,Jake C - the_man_mulcahey#74753,Maxime R - Tasigurr#89921,2-0,,1,,,,,,,
4/23/2022 16:44:54,Maxime R - Tasigurr#89921,Justin P - Code Pigeon#84057,2-0,,1,,,,,,,
4/23/2022 18:41:03,Maxime R - Tasigurr#89921,Sawyer T - soyboy#35469,2-1,,1,,,,,,,
4/23/2022 23:12:18,Sean L - dankesean#67393,Maxime R - Tasigurr#89921,2-0,,1,,,,,,,
4/23/2022 23:21:06,Daniel J - Insequent#82225,Maranda L - BlackCanary#59791,2-0,,1,,,,,,,
4/24/2022 0:24:44,Maranda L - BlackCanary#59791,Sean L - dankesean#67393,2-0,,1,,,,,,,
4/24/2022 1:10:39,Emmett F - Sepulchure#51526,Steve T - strout#45062,2-0,,1,,,,,,,
4/24/2022 1:35:30,Emmett F - Sepulchure#51526,Maxime R - Tasigurr#89921,2-0,,1,,,,,,,
4/24/2022 12:51:55,Zeke W - smarmyplatapus#30066,Nik S - njsiii#50504,2-1,,1,,,,,,,
4/24/2022 13:25:59,Zeke W - smarmyplatapus#30066,Richard K - preacher26#59445,2-0,,1,,,,,,,
4/24/2022 16:14:25,Zeke W - smarmyplatapus#30066,Daniel J - Insequent#82225,2-1,,1,,,,,,,
4/24/2022 17:20:17,Zeke W - smarmyplatapus#30066,Steve T - strout#45062,2-1,,1,,,,,,,
4/24/2022 19:01:17,Daniel J - Insequent#82225,Jake C - the_man_mulcahey#74753,2-1,,1,,,,,,,
4/24/2022 22:53:54,Daniel J - Insequent#82225,Patrick M - FullestJ#22936,2-0,,1,,,,,,,
4/24/2022 23:30:14,Mitchel S - SpaghettiMitch#18619,Zeke W - smarmyplatapus#30066,2-1,,1,,,,,,,
4/25/2022 0:22:03,John L - fightstrife#66069,Steve T - strout#45062,2-1,,1,,,,,,,
4/25/2022 1:31:52,Maranda L - BlackCanary#59791,John L - fightstrife#66069,2-0,,1,,,,,,,
4/25/2022 3:43:11,Sawyer T - soyboy#35469,Steve T - strout#45062,2-1,,1,,,,,,,
4/25/2022 14:01:13,Nick L - ironick#50169,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,,,,,
4/25/2022 16:40:14,Sawyer T - soyboy#35469,Richard K - preacher26#59445,2-0,,1,,,,,,,
4/25/2022 17:36:38,Emmett F - Sepulchure#51526,Richard K - preacher26#59445,2-1,,1,,,,,,,
4/25/2022 18:09:49,Caleb G - Whynaut#28590,Emmett F - Sepulchure#51526,2-1,,1,,,,,,,
4/25/2022 18:44:23,Caleb G - Whynaut#28590,Damian S - ButCrackMagic#71223,2-1,,1,,,,,,,
4/25/2022 19:57:14,Sean L - dankesean#67393,Cody-Rayce M-G - Rayce#56572,2-1,,1,,,,,,,
4/25/2022 20:34:20,Nick L - ironick#50169,Cody-Rayce M-G - Rayce#56572,2-0,,1,,,,,,,
4/25/2022 21:39:37,Nick L - ironick#50169,Pierre-Marc D - pmduguay#67919,2-0,,1,,,,,,,
4/26/2022 0:39:01,Sean L - dankesean#67393,Olivier F - NephilimOli#21523,2-0,,1,,,,,,,
4/26/2022 13:21:17,Daniel J - Insequent#82225,Andrew A - Mapo Dofu#77365,2-1,,1,,,,,,,
