Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Winner Game Wins,Loser Game Wins,Week,Week Value,Week Start (PST)
2/20/2022 13:56:05,Olivier F - NephilimOli#21523,Jason M - experientialist#23057,2-1,,1,,,,,,,
2/20/2022 13:59:38,Stephen W - Biceps_Inc#28236,Pierre-Marc D - pmduguay#67919,2-0,,1,,,,,,,
2/20/2022 14:29:20,Pierre-Marc D - pmduguay#67919,Beau G - Beaudacious#41986,2-0,,1,,,,,,,
2/20/2022 14:31:54,Nick P - CrustyCheeseburger#09888,Mathew S - VGCake#60410,2-1,,1,,,,,,,
2/20/2022 14:48:32,Jaidin M - MnemonicDevice#38774,Mathew S - VGCake#60410,2-0,,1,Foxes,,,,,,
2/20/2022 15:11:45,Chris R - Sinkwater#27508,Beau G - Beaudacious#41986,2-1,,1,,,,,,,
2/20/2022 15:19:50,Ryan W - MuttBunchies#61653,Mathew S - VGCake#60410,2-0,,1,,,,,,,
2/20/2022 16:16:16,Chris R - Sinkwater#27508,Mathew S - VGCake#60410,2-1,,1,,,,,,,
2/20/2022 16:21:09,Shuo L - Tamamo#30654,Chris S - LordBooBoo#20683,2-0,,1,,,,,,,
2/20/2022 16:49:07,Helge B - turd_burglar#45671,Shuo L - Tamamo#30654,2-1,,1,,,,,,,
2/20/2022 17:38:09,Chris P - Joker01#66827,Nicholas K - Bionick#55161,2-1,,1,,,,,,,
2/20/2022 17:52:33,Cody-Rayce MG - Rayce#56572,Kyle C - AFKyle#29319,2-0,,1,ggs,,,,,,
2/20/2022 18:08:16,Chris P - Joker01#66827,Jordan P - chunkieluver53#92811,2-0,,1,,,,,,,
2/20/2022 18:23:56,Mike P - UnwieldyBiscuit#26471,Nicholas K - Bionick#55161,2-0,,1,,,,,,,
2/20/2022 18:48:18,Adam S - wizma#29010,Olivier F - NephilimOli#21523,2-0,,1,Great games ,,,,,,
2/20/2022 19:17:45,Nicholas K - Bionick#55161,Devin L - Dalopi#45146,2-0,,1,,,,,,,
2/20/2022 19:34:41,Daniel J - Insequent#82225,Jordan P - chunkieluver53#92811,2-0,,1,,,,,,,
2/20/2022 19:59:02,Christopher G - oompaloompa#65002,Daniel J - Insequent#82225,2-0,,1,,,,,,,
2/20/2022 19:59:44,Mike P - UnwieldyBiscuit#26471,Devin L - Dalopi#45146,2-0,,1,,,,,,,
2/20/2022 20:19:37,Adam S - wizma#29010,John L - fightstrife#66069,2-0,,1,Great games ,,,,,,
2/20/2022 20:36:38,Ryan W - MuttBunchies#61653,Nick P - CrustyCheeseburger#09888,2-0,,1,,,,,,,
2/20/2022 20:45:08,Jason M - experientialist#23057,Robby P - Locke_009#22200,2-1,,1,,,,,,,
2/20/2022 21:15:22,Grey H - grensley#29260,Mike P - UnwieldyBiscuit#26471,2-0,,1,,,,,,,
2/20/2022 21:49:19,Jason M - experientialist#23057,Sawyer T - soyboy#35469,2-1,,1,,,,,,,
2/20/2022 22:46:34,Emmett F - Sepulchure#51526,Sawyer T - soyboy#35469,2-0,,1,,,,,,,
2/20/2022 23:34:35,Ben DP - bdp18#67423,Nik S - njsiii#50504,2-1,,1,,,,,,,
2/21/2022 0:39:14,Nick P - CrustyCheeseburger#09888,Dante R - dantesper#59172,2-1,,1,,,,,,,
2/21/2022 7:14:53,Patrick M - FullestJ#22936,Dante R - dantesper#59172,2-0,,1,,,,,,,
2/21/2022 10:32:31,Helge B - turd_burglar#45671,Robby P - Locke_009#22200,2-0,,1,thanks for the patience!,,,,,,
2/21/2022 12:05:09,Joseph H - JoCool#84350,John L - fightstrife#66069,2-0,,1,,,,,,,
2/21/2022 12:46:32,John P - gokuorgohome#51511,John L - fightstrife#66069,2-1,,1,,,,,,,
2/21/2022 13:20:26,John P - gokuorgohome#51511,Robby P - Locke_009#22200,2-1,,1,,,,,,,
2/21/2022 13:38:41,Martin E - Meep#87492,Joseph H - JoCool#84350,2-0,,1,,,,,,,
2/21/2022 14:47:56,Ryan D - TheSlickness#10857,John P - gokuorgohome#51511,2-0,,1,,,,,,,
2/21/2022 15:14:58,Derek G - Czark#07914,Jason M - experientialist#23057,2-1,,1,,,,,,,
2/21/2022 15:30:25,Chris P - Joker01#66827,John P - gokuorgohome#51511,2-0,,1,,,,,,,
2/21/2022 15:47:45,Derek G - Czark#07914,John L - fightstrife#66069,2-0,,1,,,,,,,
2/21/2022 17:10:18,Chris P - Joker01#66827,Ryan D - TheSlickness#10857,2-0,,1,,,,,,,
2/21/2022 18:52:56,Keith S - Wittet#06465,Brice C - AlBerTice#65077,2-1,,1,,,,,,,
2/21/2022 19:19:27,Santino T - DuckpuBZ#55688,Daniel M - HPWizard#40332,2-0,,1,,,,,,,
2/21/2022 19:43:03,Santino T - DuckpuBZ#55688,Caleb G - Whynaut#28590,2-0,,1,,,,,,,
2/21/2022 20:36:13,Olivier F - NephilimOli#21523,Daniel M - HPWizard#40332,2-1,,1,,,,,,,
2/21/2022 22:53:42,Daniel M - HPWizard#40332,Devin L - Dalopi#45146,2-1,,1,,,,,,,
2/21/2022 23:02:21,Steve T - strout#45062,Sylvain T - Iquitos#15484,2-1,,1,,,,,,,
2/21/2022 23:37:04,Steve T - strout#45062,Santino T - DuckpuBZ#55688,2-1,,1,,,,,,,
2/22/2022 0:03:05,Patrick M - FullestJ#22936,Steve T - strout#45062,2-1,,1,,,,,,,
2/22/2022 0:14:14,Nicholas K - Bionick#55161,Grey H - grensley#29260,2-1,,1,,,,,,,
2/22/2022 1:08:05,Rowan C - rcb#09642,Patrick M - FullestJ#22936,2-1,,1,,,,,,,
2/22/2022 9:58:49,Adam S - wizma#29010,Sylvain T - Iquitos#15484,2-1,,1,Good games!,,,,,,
2/22/2022 11:33:57,Ben DP - bdp18#67423,Matt Z - frank_sausage#54739,2-0,,1,,,,,,,
2/22/2022 12:51:50,Matt Z - frank_sausage#54739,Sylvain T - Iquitos#15484,2-0,,1,,,,,,,
2/22/2022 14:26:51,Harry B - Midnight_0il#97781,Martin E - Meep#87492,2-0,,1,,,,,,,
2/22/2022 14:44:26,Harry B - Midnight_0il#97781,Ben A - JankInTheTank#50714,2-0,,1,,,,,,,
2/22/2022 15:22:41,Harry B - Midnight_0il#97781,Patrick M - FullestJ#22936,2-1,,1,,,,,,,
2/22/2022 16:01:48,Joseph H - JoCool#84350,Matt Z - frank_sausage#54739,2-0,,1,,,,,,,
2/22/2022 16:47:57,Patrick M - FullestJ#22936,Joel L - Instinctive#21903,2-0,,1,,,,,,,
2/22/2022 17:00:40,Nik S - njsiii#50504,Tim H - hanshotf1rst#51070,2-0,,1,,,,,,,
2/22/2022 17:05:59,Geoff E - Snorlaxguy#38043,Trevor H - zheader#50741,2-1,,1,Trevor is cool guy,,,,,,
2/22/2022 17:36:30,Christian W - Senpaiman#86951,Ben A - JankInTheTank#50714,2-1,,1,,,,,,,
2/22/2022 17:42:25,Tim H - hanshotf1rst#51070,Geoff E - Snorlaxguy#38043,2-1,,1,,,,,,,
2/22/2022 18:17:17,Nik S - njsiii#50504,Ade A - Blizz#50660,2-1,,1,,,,,,,
2/22/2022 18:21:50,Adam S - wizma#29010,Santino T - DuckpuBZ#55688,2-0,,1,Good games!,,,,,,
2/22/2022 18:41:33,Christian W - Senpaiman#86951,Geoff E - Snorlaxguy#38043,2-0,,1,,,,,,,
2/22/2022 18:42:18,Nelson K - accpi#18634,Ade A - Blizz#50660,2-0,,1,,,,,,,
2/22/2022 18:49:01,Tim H - hanshotf1rst#51070,Caleb G - Whynaut#28590,2-1,,1,,,,,,,
2/22/2022 19:11:22,Caleb G - Whynaut#28590,Geoff E - Snorlaxguy#38043,2-0,,1,,,,,,,
2/22/2022 19:46:17,Caleb G - Whynaut#28590,Gabriel L - gabeisgunk#67806,2-0,,1,,,,,,,
2/22/2022 20:06:41,Nelson K - accpi#18634,Nick M - Bernardhibou#01354,2-0,,1,,,,,,,
2/22/2022 20:43:59,Mitchel S - SpaghettiMitch#18619,Geoff E - Snorlaxguy#38043,2-0,,1,,,,,,,
2/22/2022 20:58:02,Chase H - chase#1609,Aus Z - ImperialPlaneswalker#40420,2-1,,1,,,,,,,
2/22/2022 20:58:45,Caleb G - Whynaut#28590,Andrew A - Mapo Dofu#77365,2-1,,1,,,,,,,
